Institution_ID,Institution_Type,Region,Total_Students,Total_Teachers,Student_Teacher_Ratio,Total_Classrooms,Avg_Classroom_Capacity,Classroom_Utilization_Rate,Smart_Classrooms,Computer_Labs,Lab_Utilization_Rate,Digital_Learning_Tools,Internet_Bandwidth_Mbps,Library_Resources,Learning_Outcome_Index,Student_Engagement_Index,Teacher_Workload_Index,Infrastructure_Quality_Index,Resource_Utilization_Index,Operational_Cost_Per_Student,Resource_Wastage_Index,Resource_Allocation_Status
INS00056,Government-Aided,Rural,1977,62,31.89,46,68,0.69,12,13,0.51,0.85,846,93478,0.89,0.81,0.73,0.9,0.41,4864,0.18,Moderately_Balanced
INS00057,Government-Aided,Urban,1298,40,32.45,32,43,0.54,33,12,0.91,0.3,612,96151,0.47,0.73,0.62,0.67,0.75,3469,0.15,Moderately_Balanced
INS00058,Public,Semi-Urban,2077,50,41.54,27,30,0.64,16,1,0.81,0.32,38,107508,0.95,0.61,0.79,0.6,0.71,2582,0.32,Moderately_Balanced
INS00059,Government-Aided,Semi-Urban,1256,46,27.3,18,56,0.6,50,8,0.48,0.45,895,91102,0.6,0.55,0.76,0.9,0.69,1434,0.09,Moderately_Balanced
INS00060,Government-Aided,Semi-Urban,1889,92,20.53,37,66,0.84,54,14,0.46,0.49,711,48374,0.56,0.92,0.89,0.54,0.79,1276,0.09,Moderately_Balanced
INS00061,Private,Rural,1461,116,12.59,76,30,0.62,46,12,0.89,0.84,848,20992,0.66,0.55,0.36,0.84,0.5,4715,0.05,Needs_Improvement
INS00062,Public,Semi-Urban,2168,109,19.89,68,58,0.77,18,1,0.76,0.92,139,60304,0.45,0.47,0.5,0.9,0.56,4676,0.07,Needs_Improvement
INS00063,Private,Semi-Urban,852,63,13.52,88,53,0.79,9,7,0.42,0.26,917,47329,0.89,0.56,0.42,0.81,0.43,4396,0.31,Moderately_Balanced
INS00064,Private,Urban,1933,62,31.18,69,46,0.68,41,6,0.47,0.26,354,57669,0.58,0.57,0.68,0.77,0.7,3000,0.29,Moderately_Balanced
INS00065,Private,Urban,994,50,19.88,83,64,0.49,58,10,0.42,0.86,938,41108,0.71,0.47,0.7,0.43,0.91,3758,0.08,Needs_Improvement
INS00066,Private,Semi-Urban,616,136,4.53,54,60,0.8,8,8,0.91,0.34,550,91918,0.76,0.78,0.42,0.51,0.87,1830,0.28,Moderately_Balanced
INS00067,Private,Semi-Urban,1067,95,11.23,28,61,0.49,50,6,0.66,0.49,884,111223,0.85,0.73,0.55,0.77,0.68,1995,0.24,Moderately_Balanced
INS00068,Private,Urban,2271,53,42.85,112,48,0.5,10,5,0.64,0.44,89,12655,0.58,0.57,0.66,0.83,0.74,4214,0.17,Moderately_Balanced
INS00069,Private,Rural,1803,99,18.21,42,60,0.55,37,9,0.9,0.45,453,114073,0.81,0.93,0.7,0.43,0.95,3457,0.08,Moderately_Balanced
INS00070,Public,Rural,422,23,18.35,86,68,0.59,30,4,0.66,0.48,208,28652,0.51,0.75,0.36,0.41,0.66,2721,0.23,Needs_Improvement
INS00071,Government-Aided,Rural,2168,91,23.82,94,49,0.87,1,7,0.67,0.49,422,49076,0.8,0.77,0.85,0.57,0.87,3756,0.3,Moderately_Balanced
INS00072,Private,Rural,1971,117,16.85,109,57,0.79,23,6,0.91,0.68,625,79135,0.91,0.7,0.32,0.75,0.65,3417,0.18,Moderately_Balanced
INS00073,Private,Rural,1382,129,10.71,85,32,0.64,41,10,0.46,0.69,681,88894,0.49,0.69,0.88,0.68,0.38,4266,0.18,Needs_Improvement
INS00074,Private,Rural,2028,47,43.15,81,61,0.94,46,6,0.91,0.62,406,73614,0.51,0.41,0.49,0.4,0.91,2000,0.3,Needs_Improvement
INS00075,Private,Rural,2296,149,15.41,43,51,0.57,4,11,0.49,0.85,655,38043,0.73,0.81,0.49,0.48,0.42,1501,0.11,Needs_Improvement
INS00076,Private,Rural,2442,36,67.83,114,44,0.75,49,12,0.65,0.84,152,11892,0.47,0.88,0.57,0.81,0.77,4079,0.1,Moderately_Balanced
INS00077,Private,Urban,1448,77,18.81,75,67,0.87,29,5,0.58,0.4,241,20329,0.54,0.46,0.72,0.56,0.49,3654,0.26,Needs_Improvement
INS00078,Government-Aided,Rural,2388,146,16.36,117,48,0.85,38,2,0.9,0.63,86,48897,0.55,0.82,0.4,0.46,0.89,2660,0.25,Moderately_Balanced
INS00079,Government-Aided,Rural,2214,28,79.07,82,60,0.5,34,4,0.65,0.8,975,27930,0.69,0.68,0.45,0.43,0.47,1776,0.32,Needs_Improvement
INS00080,Private,Rural,553,50,11.06,23,55,0.8,52,1,0.41,0.86,826,50421,0.57,0.55,0.88,0.87,0.43,3670,0.15,Needs_Improvement
INS00081,Government-Aided,Semi-Urban,306,107,2.86,31,34,0.58,58,9,0.52,0.43,250,93765,0.69,0.89,0.83,0.66,0.61,3439,0.11,Moderately_Balanced
INS00082,Public,Urban,2416,81,29.83,63,49,0.63,56,9,0.62,0.6,687,34709,0.71,0.41,0.43,0.68,0.65,4905,0.18,Needs_Improvement
INS00083,Private,Urban,841,38,22.13,77,31,0.69,47,8,0.75,0.62,916,50983,0.82,0.55,0.64,0.43,0.84,4994,0.17,Moderately_Balanced
INS00084,Public,Urban,388,100,3.88,98,50,0.85,16,4,0.69,0.74,169,35472,0.92,0.87,0.42,0.67,0.81,3650,0.33,Highly_Balanced
INS00085,Public,Rural,2238,126,17.76,92,65,0.53,30,5,0.84,0.48,128,73451,0.7,0.65,0.63,0.76,0.55,2227,0.33,Moderately_Balanced
INS00086,Private,Rural,512,74,6.92,60,57,0.5,1,1,0.83,0.46,448,83512,0.63,0.72,0.52,0.47,0.58,3254,0.18,Needs_Improvement
INS00087,Government-Aided,Semi-Urban,565,131,4.31,107,49,0.53,15,4,0.71,0.74,514,9697,0.58,0.8,0.52,0.9,0.7,2636,0.17,Moderately_Balanced
INS00088,Public,Urban,1530,142,10.77,27,66,0.56,20,4,0.7,0.53,838,16219,0.77,0.48,0.68,0.83,0.68,1823,0.18,Moderately_Balanced
INS00089,Private,Rural,1304,84,15.52,114,68,0.48,29,5,0.54,0.25,634,92644,0.92,0.51,0.45,0.84,0.87,2710,0.27,Moderately_Balanced
INS00090,Public,Urban,2394,143,16.74,59,65,0.91,51,2,0.9,0.91,100,20887,0.83,0.93,0.54,0.7,0.63,2042,0.22,Moderately_Balanced
INS00091,Public,Semi-Urban,921,22,41.86,67,40,0.61,0,2,0.44,0.35,637,71270,0.55,0.53,0.86,0.58,0.89,1804,0.14,Needs_Improvement
INS00092,Public,Semi-Urban,726,40,18.15,31,32,0.54,13,12,0.61,0.35,838,29215,0.9,0.69,0.75,0.75,0.47,4524,0.28,Moderately_Balanced
INS00093,Public,Semi-Urban,509,56,9.09,61,66,0.77,15,2,0.74,0.82,559,119077,0.82,0.56,0.53,0.52,0.87,4023,0.32,Moderately_Balanced
INS00094,Government-Aided,Urban,1187,34,34.91,76,49,0.84,54,11,0.89,0.48,781,62479,0.51,0.85,0.44,0.48,0.53,4572,0.27,Needs_Improvement
INS00095,Public,Rural,1743,106,16.44,64,61,0.83,8,8,0.66,0.48,817,88673,0.81,0.91,0.7,0.7,0.82,1656,0.11,Highly_Balanced
INS00096,Public,Rural,453,139,3.26,57,54,0.81,48,13,0.87,0.69,507,102614,0.59,0.47,0.78,0.66,0.69,1460,0.29,Needs_Improvement
INS00097,Public,Semi-Urban,714,63,11.33,82,50,0.48,7,12,0.45,0.29,27,55937,0.7,0.72,0.82,0.48,0.88,3822,0.35,Moderately_Balanced
INS00098,Government-Aided,Rural,1480,58,25.52,98,45,0.84,8,2,0.68,0.42,494,52241,0.6,0.83,0.64,0.69,0.49,2553,0.26,Moderately_Balanced
INS00099,Public,Semi-Urban,1584,44,36.0,89,30,0.7,33,6,0.56,0.29,273,99627,0.49,0.84,0.61,0.7,0.77,2394,0.12,Moderately_Balanced
INS00100,Public,Urban,1068,75,14.24,100,52,0.77,44,2,0.81,0.45,572,51566,0.83,0.63,0.73,0.88,0.86,1799,0.05,Moderately_Balanced
INS00101,Government-Aided,Semi-Urban,1282,140,9.16,86,53,0.93,32,13,0.63,0.86,512,95135,0.86,0.52,0.41,0.82,0.82,4416,0.17,Moderately_Balanced
INS00102,Government-Aided,Urban,1811,109,16.61,42,54,0.86,21,8,0.65,0.89,684,6264,0.57,0.61,0.81,0.52,0.69,3486,0.19,Needs_Improvement
INS00103,Government-Aided,Semi-Urban,878,83,10.58,59,36,0.86,29,14,0.43,0.47,590,98831,0.57,0.8,0.34,0.85,0.76,2042,0.32,Moderately_Balanced
INS00104,Public,Rural,1338,108,12.39,55,67,0.54,6,1,0.63,0.38,224,100221,0.66,0.93,0.66,0.93,0.47,1745,0.24,Moderately_Balanced
INS00105,Government-Aided,Rural,841,131,6.42,108,68,0.69,17,2,0.44,0.34,821,60028,0.86,0.69,0.65,0.79,0.48,2055,0.13,Moderately_Balanced
INS00106,Government-Aided,Semi-Urban,658,95,6.93,111,64,0.92,20,14,0.56,0.53,186,106998,0.49,0.5,0.49,0.83,0.51,2999,0.26,Needs_Improvement
INS00107,Public,Rural,1149,29,39.62,111,43,0.74,4,5,0.47,0.83,346,74078,0.85,0.42,0.32,0.55,0.85,3496,0.08,Moderately_Balanced
INS00108,Government-Aided,Rural,726,81,8.96,50,38,0.5,6,6,0.57,0.85,903,18669,0.91,0.9,0.73,0.95,0.45,2651,0.11,Highly_Balanced
INS00109,Public,Rural,785,109,7.2,105,32,0.82,11,9,0.52,0.28,745,46417,0.73,0.66,0.31,0.5,0.53,4758,0.27,Needs_Improvement
INS00110,Private,Urban,2131,79,26.97,98,67,0.47,58,6,0.55,0.4,244,93480,0.48,0.78,0.41,0.81,0.9,3655,0.14,Moderately_Balanced
INS00111,Government-Aided,Rural,1772,126,14.06,47,49,0.82,16,8,0.48,0.39,449,43430,0.58,0.75,0.63,0.62,0.8,2353,0.06,Moderately_Balanced
INS00112,Private,Urban,1736,57,30.46,39,62,0.89,57,12,0.63,0.83,825,74708,0.51,0.87,0.86,0.6,0.79,2103,0.2,Moderately_Balanced
INS00113,Public,Semi-Urban,629,66,9.53,33,61,0.66,23,7,0.66,0.57,498,16810,0.58,0.54,0.34,0.56,0.62,4046,0.25,Needs_Improvement
INS00114,Government-Aided,Rural,2055,97,21.19,61,65,0.66,36,1,0.84,0.51,128,118323,0.86,0.63,0.65,0.64,0.77,2334,0.29,Moderately_Balanced
INS00115,Public,Rural,1470,72,20.42,99,55,0.6,43,2,0.68,0.92,436,64295,0.48,0.88,0.5,0.83,0.69,1499,0.14,Moderately_Balanced
INS00116,Private,Rural,558,81,6.89,47,34,0.89,18,4,0.52,0.9,392,64838,0.59,0.71,0.7,0.92,0.39,4178,0.18,Moderately_Balanced
INS00117,Public,Semi-Urban,442,42,10.52,81,59,0.72,44,12,0.78,0.56,775,27549,0.71,0.44,0.87,0.63,0.7,4841,0.22,Needs_Improvement
INS00118,Government-Aided,Urban,2316,63,36.76,28,46,0.74,15,1,0.55,0.34,297,65328,0.89,0.5,0.46,0.76,0.62,1967,0.07,Moderately_Balanced
INS00119,Government-Aided,Urban,926,71,13.04,93,35,0.78,24,8,0.79,0.37,430,82775,0.57,0.53,0.87,0.83,0.42,1203,0.11,Needs_Improvement
INS00120,Private,Rural,1688,65,25.97,47,44,0.6,26,4,0.6,0.33,210,95635,0.84,0.93,0.82,0.45,0.56,1915,0.16,Moderately_Balanced
INS00121,Public,Semi-Urban,389,103,3.78,56,30,0.67,50,7,0.67,0.73,686,116560,0.74,0.52,0.66,0.93,0.89,4390,0.13,Moderately_Balanced
INS00122,Government-Aided,Semi-Urban,1019,66,15.44,100,42,0.82,54,7,0.66,0.64,40,13103,0.79,0.86,0.75,0.52,0.83,2582,0.19,Moderately_Balanced
INS00123,Private,Semi-Urban,780,110,7.09,79,63,0.94,41,8,0.9,0.64,968,8524,0.88,0.44,0.82,0.9,0.9,3327,0.25,Moderately_Balanced
INS00124,Government-Aided,Semi-Urban,2431,71,34.24,109,59,0.47,43,9,0.48,0.32,694,23361,0.46,0.5,0.78,0.94,0.78,3269,0.21,Moderately_Balanced
INS00125,Government-Aided,Semi-Urban,1400,43,32.56,61,48,0.47,6,9,0.89,0.81,269,63242,0.71,0.86,0.5,0.46,0.73,1408,0.28,Moderately_Balanced
INS00126,Public,Urban,972,108,9.0,49,31,0.66,45,14,0.69,0.62,578,5099,0.82,0.88,0.79,0.89,0.43,4232,0.24,Moderately_Balanced
INS00127,Government-Aided,Urban,816,83,9.83,98,41,0.78,41,7,0.92,0.31,581,110289,0.89,0.49,0.49,0.75,0.41,4770,0.14,Needs_Improvement
INS00128,Public,Urban,1913,138,13.86,46,69,0.64,59,9,0.7,0.77,394,65167,0.52,0.52,0.82,0.85,0.5,1385,0.09,Needs_Improvement
INS00129,Government-Aided,Rural,1081,83,13.02,69,53,0.95,7,5,0.74,0.94,669,102480,0.62,0.68,0.45,0.46,0.54,2883,0.24,Needs_Improvement
INS00130,Private,Semi-Urban,2451,105,23.34,68,40,0.55,14,10,0.79,0.56,642,80404,0.49,0.43,0.64,0.86,0.71,2510,0.11,Needs_Improvement
INS00131,Government-Aided,Rural,2335,75,31.13,90,31,0.45,57,4,0.83,0.33,303,9279,0.87,0.9,0.72,0.74,0.88,4513,0.15,Highly_Balanced
INS00132,Public,Semi-Urban,986,78,12.64,65,30,0.55,15,3,0.65,0.32,763,38938,0.88,0.59,0.56,0.68,0.88,1524,0.29,Moderately_Balanced
INS00133,Public,Urban,1889,144,13.12,94,57,0.89,7,6,0.75,0.27,824,58526,0.69,0.66,0.77,0.71,0.76,3981,0.12,Moderately_Balanced
INS00134,Private,Rural,1199,66,18.17,73,33,0.52,35,10,0.72,0.79,700,89266,0.46,0.46,0.86,0.81,0.69,1381,0.21,Needs_Improvement
INS00135,Government-Aided,Urban,1801,140,12.86,86,59,0.69,31,11,0.61,0.74,720,23711,0.5,0.42,0.41,0.56,0.5,4970,0.08,Needs_Improvement
INS00136,Government-Aided,Semi-Urban,522,121,4.31,28,36,0.66,16,9,0.83,0.66,582,58634,0.76,0.65,0.32,0.92,0.91,1957,0.17,Highly_Balanced
INS00137,Private,Semi-Urban,1376,63,21.84,32,51,0.78,35,4,0.5,0.79,539,5224,0.94,0.46,0.68,0.57,0.75,1453,0.34,Moderately_Balanced
INS00138,Government-Aided,Semi-Urban,1400,34,41.18,69,55,0.48,21,14,0.49,0.95,760,103006,0.87,0.73,0.66,0.88,0.67,4490,0.34,Moderately_Balanced
INS00139,Government-Aided,Urban,2041,124,16.46,108,58,0.78,31,2,0.78,0.53,901,58645,0.85,0.82,0.5,0.41,0.41,1629,0.33,Needs_Improvement
INS00140,Public,Semi-Urban,802,70,11.46,111,54,0.63,57,11,0.73,0.74,461,17242,0.66,0.42,0.77,0.9,0.85,3645,0.23,Moderately_Balanced
INS00141,Government-Aided,Urban,1639,72,22.76,112,39,0.91,10,3,0.57,0.51,764,39208,0.94,0.72,0.8,0.87,0.56,4253,0.14,Moderately_Balanced
INS00142,Government-Aided,Rural,923,53,17.42,70,49,0.87,44,3,0.73,0.5,464,91870,0.86,0.83,0.5,0.47,0.89,2176,0.16,Moderately_Balanced
INS00143,Private,Semi-Urban,2186,143,15.29,63,43,0.65,5,2,0.8,0.85,436,62498,0.62,0.63,0.71,0.81,0.45,3101,0.11,Needs_Improvement
INS00144,Private,Semi-Urban,1350,96,14.06,112,62,0.95,21,13,0.51,0.65,550,34323,0.82,0.91,0.69,0.61,0.38,1331,0.08,Moderately_Balanced
INS00145,Public,Semi-Urban,1393,142,9.81,74,34,0.48,13,9,0.7,0.33,561,30645,0.67,0.46,0.51,0.66,0.61,1689,0.1,Needs_Improvement
INS00146,Government-Aided,Rural,2285,89,25.67,67,35,0.84,27,4,0.83,0.53,481,53238,0.78,0.57,0.88,0.44,0.4,4467,0.19,Needs_Improvement
INS00147,Government-Aided,Semi-Urban,1688,40,42.2,85,51,0.67,38,3,0.61,0.81,161,34382,0.94,0.52,0.51,0.52,0.39,3826,0.06,Needs_Improvement
INS00148,Government-Aided,Urban,1629,127,12.83,20,46,0.67,11,14,0.7,0.91,823,74859,0.57,0.93,0.67,0.92,0.78,4534,0.33,Highly_Balanced
INS00149,Public,Urban,1447,127,11.39,84,44,0.54,26,10,0.44,0.68,922,13493,0.85,0.56,0.53,0.63,0.5,4131,0.22,Needs_Improvement
INS00150,Public,Semi-Urban,318,109,2.92,100,68,0.71,0,6,0.83,0.53,135,108505,0.75,0.61,0.31,0.41,0.73,1494,0.1,Needs_Improvement
INS00151,Private,Semi-Urban,1580,98,16.12,22,69,0.49,9,8,0.81,0.43,126,57367,0.92,0.85,0.35,0.68,0.69,2962,0.17,Moderately_Balanced
INS00152,Public,Rural,1345,61,22.05,115,57,0.76,32,11,0.64,0.55,565,105921,0.52,0.89,0.44,0.95,0.43,3068,0.16,Moderately_Balanced
INS00153,Government-Aided,Rural,1288,71,18.14,29,31,0.57,15,8,0.46,0.65,197,68629,0.81,0.9,0.79,0.58,0.58,3539,0.3,Moderately_Balanced
INS00154,Government-Aided,Rural,1873,121,15.48,40,47,0.81,38,10,0.74,0.25,51,10460,0.47,0.7,0.57,0.48,0.39,4322,0.09,Needs_Improvement
INS00155,Public,Semi-Urban,1371,124,11.06,53,56,0.75,59,6,0.7,0.44,317,9570,0.57,0.75,0.65,0.75,0.6,2515,0.18,Moderately_Balanced
INS00156,Government-Aided,Rural,1506,98,15.37,17,50,0.82,51,5,0.88,0.72,180,11680,0.61,0.59,0.87,0.91,0.46,3358,0.26,Needs_Improvement
INS00157,Government-Aided,Rural,1758,131,13.42,71,52,0.82,5,11,0.55,0.72,906,35309,0.67,0.72,0.39,0.87,0.41,2217,0.16,Moderately_Balanced
INS00158,Public,Urban,2454,123,19.95,24,36,0.55,53,7,0.42,0.71,801,116758,0.93,0.56,0.82,0.76,0.54,1699,0.16,Moderately_Balanced
